Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Affects versions,Fix versions,Due date,Votes,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
Booking details not displayed when clicking eye icon,VEN-49,10170,Bug,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,14/Sep/25 12:45 PM,14/Sep/25 1:02 PM,14/Sep/25 1:03 PM,,Version 1,,,0,,"*Steps to Reproduce:*

# Log in as a customer.
# Go to dashboard.
# Go to *“Bookings”*.
# Click the *eye icon* next to any booking.

*Expected Result:*

* Booking details should appear in a modal , showing all relevant information.

*Actual Result:*

* No booking details are displayed; the modal/page is not showing information .

*Severity:* Medium 

 (affects customer ability to track reservations)",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,VEN-24,,,14/Sep/25 12:47 PM;9b044ab0-09cd-4f05-990c-eae5f3695cd3;a5b92d9c-9803-4340-946a-288d77585e23.png;https://venuereservation.atlassian.net/rest/api/3/attachment/content/10036,14/Sep/25 12:48 PM;9b044ab0-09cd-4f05-990c-eae5f3695cd3;a61bfc32-e764-48a5-917c-d08c233a1962.png;https://venuereservation.atlassian.net/rest/api/3/attachment/content/10038,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6254500d,,,,,,,,,,,,,,,,0|i000pb:,,,,,,,,,,,,,,,10102,VEN-3,Booking Management(customer side),To Do,14/Sep/25 12:45 PM
"Booking list shows ""request from user"" instead of username",VEN-48,10169,Bug,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,14/Sep/25 11:24 AM,14/Sep/25 11:52 AM,14/Sep/25 11:24 AM,,Version 1,,,0,,"*Steps to Reproduce:*

# Log in as a venue owner.
# Go to *“Booking Requests”*
# View the list of bookings for your venues.

*Expected Result:*

* Each booking should display the *user’s full name or username* who made the reservation.

*Actual Result:*

* The booking shows *“request from user”* instead of the actual user name.

*Severity:*  High 

!8aad05bb-5300-4b43-a26d-e5dab55bcd2a.png|width=1318,height=792,alt=""8aad05bb-5300-4b43-a26d-e5dab55bcd2a.png""!

!https://jam.dev/c/05bec3b1-6ac6-4826-8835-edf13764b414|thumbnail!",Web Browser(Chrome),Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,VEN-18,,,14/Sep/25 11:29 AM;9b044ab0-09cd-4f05-990c-eae5f3695cd3;8aad05bb-5300-4b43-a26d-e5dab55bcd2a.png;https://venuereservation.atlassian.net/rest/api/3/attachment/content/10034,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@31f9297d,,,,,,,,,,,,,,,,0|i000p3:,,,,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),To Do,14/Sep/25 11:24 AM
"Venue image upload only supports URL,file upload not working",VEN-46,10166,Bug,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,14/Sep/25 10:29 AM,14/Sep/25 1:04 PM,14/Sep/25 1:03 PM,,Version 1,,,0,,"Steps to Reproduce:

1.Log in as venue owner.

2.Go to  Add Venue

3.Try to upload an image file

4.URL input is only available.

*Expected Result:* Venue owner should be able to upload image files from local storage or drag-and-drop.

*Actual Result:* Only URL input is allowed for venue images; cannot upload actual image files.

*Severity:* Medium (affects user experience and completeness of feature).",Web browser(Chrome),Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,VEN-19,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@165d8ce1,,,,,,,,,,,,,,,,0|i000ov:,,,,,,,,,,,,,,,10101,VEN-2,Venue Management(Owner side),To Do,14/Sep/25 10:42 AM
Phone number field allows invalid input in profile update,VEN-45,10165,Bug,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,14/Sep/25 10:11 AM,14/Sep/25 10:42 AM,14/Sep/25 10:27 AM,,Version 1,,,0,,"Steps to Reproduce:

login in application.

Navigate to “Update Profile” page.

Enter invalid phone numbers(eg:123werty,123!)

Save changes

*Expected Result*: Validation error should appear; profile should not accept invalid phone numbers.

*Actual Result*: Profile accepts any input in the phone number field without error.

Severity: Low

!b7526c3b-ef09-40e5-8f00-edf5aa990e8a.png|width=1177,height=716,alt=""b7526c3b-ef09-40e5-8f00-edf5aa990e8a.png""!",Web browser(Chrome),Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,VEN-12,,,14/Sep/25 10:17 AM;9b044ab0-09cd-4f05-990c-eae5f3695cd3;b7526c3b-ef09-40e5-8f00-edf5aa990e8a.png;https://venuereservation.atlassian.net/rest/api/3/attachment/content/10033,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@7e912428,,,,,,,,,,,,,,,,0|i000on:,,,,,,,,,,,,,,,10100,VEN-1,User Authentication and Profile Management,To Do,14/Sep/25 10:42 AM
Payment shows “Success” without validating details or confirming booking,VEN-44,10164,Bug,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Highest,,Samir Humagain,712020:2fbf2772-750b-40d6-910e-a50d80bcc064,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 8:26 PM,11/Sep/25 8:27 PM,14/Sep/25 10:18 AM,,Version 1,Version 1,,0,payment,"When a customer completes the payment flow, the system displays a *Payment Success* message without validating the gateway response, storing a payment record, or confirming the booking. This creates a mismatch between what the user sees and what is stored in the backend, leading to financial and trust issues.

*Steps to Reproduce:*

# Login as a customer.
# Select a venue and proceed to booking.
# Go to the payment page and complete the flow (using test gateway or sandbox card).
# Observe the result after payment is submitted.

*Actual Result:*

* UI immediately shows _Payment Success_ message.
* No transaction record is created in the database.
* Booking remains unconfirmed.
* No confirmation email or receipt is sent.

*Expected Result:*

* Backend should validate the payment gateway response (transaction ID, amount, signature).
* A payment record should be stored in the database.
* Booking should be updated to _Confirmed_.
* User should see confirmation on UI and receive confirmation email/receipt.
* Failed or invalid payments should display an error and not confirm the booking.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,VEN-27,,11/Sep/25 8:23 PM;9b044ab0-09cd-4f05-990c-eae5f3695cd3;Modern Venue Booking Web Application - Google Chrome 2025-09-11 20-22-31.mp4;https://venuereservation.atlassian.net/rest/api/3/attachment/content/10003,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5c75ac1f,,,,,,,,,,,,,,,,0|i000hh:,,,VEN Sprint 1,,,,,,,,,,,,10103,VEN-4,Payment ,In Progress,11/Sep/25 8:27 PM
Admin cannot see the name of the venue for each booking,VEN-43,10161,Bug,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 7:03 PM,11/Sep/25 8:27 PM,11/Sep/25 8:25 PM,,Version 1,Version 1,,0,,"Description: In the Admin Dashboard, while the admin can view the total number of bookings done by each user, the name of the booked venue is not displayed. This makes it impossible for the admin to identify which venues have been booked by which users.

 Steps to Reproduce:  

Login as Admin.  

Navigate to the Booking Analytics / User Bookings section. 

 Check the bookings listed per user.

  Expected Result: Admin should be able to see both the number of bookings and the name of the booked venue for each user.

  Actual Result: Only the number of bookings per user is displayed; the venue names are missing.  Severity: Medium (affects usability for admin)

 ",QA,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,VEN-41,,11/Sep/25 7:00 PM;9b044ab0-09cd-4f05-990c-eae5f3695cd3;Untitled video - Made with Clipchamp.mp4;https://venuereservation.atlassian.net/rest/api/3/attachment/content/10001,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@318fce7c,,,,,,,,,,,,,,,,0|i000hf:,,,VEN Sprint 1,,,,,,,,,,,,10105,VEN-6,Admin & Dashboard,In Progress,11/Sep/25 7:19 PM
"As an admin, I want to see all bookings across all venues, so that I can monitor system activity and resolve disputes.",VEN-41,10158,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Medium,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 1:56 PM,11/Sep/25 8:27 PM,11/Sep/25 7:19 PM,,,Version 1,,0,admin,"Acceptance criteria:

* Admin can see a list of all bookings across venues.
* Each booking displays details (venue, customer, date, status, extras, payment).
* Admin cannot modify bookings directly unless policies allow.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,VEN-43,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5e3c529a,,,,,,,,,,,,,,,,0|i000ha:m,,,VEN Sprint 1,,,,,,,,,,,,10105,VEN-6,Admin & Dashboard,In Progress,11/Sep/25 6:37 PM
"As an admin, I want to approve, reject, or remove venue listings, so that only valid and accurate venues are available for booking.",VEN-40,10156,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,Highest,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 1:54 PM,11/Sep/25 6:46 PM,11/Sep/25 6:43 PM,,,Version 1,,0,admin,"Acceptance critera:


* Admin can approve, reject, or remove venue listings.
* Changes are reflected immediately in the customer and venue owner view.
* Admin receives confirmation for each action.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6311efcf,,,,,,,,,,,,,,,,0|i000h8:,,,VEN Sprint 1,,,,,,,,,,,,10105,VEN-6,Admin & Dashboard,In Progress,11/Sep/25 6:43 PM
"As an admin, I want to view, edit, and deactivate users (customers and venue owners), so that I can maintain system integrity.",VEN-39,10154,Story,To Do,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 1:53 PM,11/Sep/25 5:41 PM,11/Sep/25 4:12 PM,,,Version 1,,0,admin,"Acceptance criteria:

* Admin can view a list of all users with details (name, email, role, status).
* Admin can edit user details and deactivate/reactivate accounts.
* Changes are saved correctly in the database.
* Unauthorized users cannot access admin-only features.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@35bd560a,,,,,,,,,,,,,,,,0|i000of:,,,,,,,,,,,,,,,10105,VEN-6,Admin & Dashboard,To Do,11/Sep/25 1:53 PM
"As an admin, I want to log in securely, so that I can access the dashboard and manage the system.",VEN-38,10152,Story,Finish,VEN,Venue Reservation Systems,software,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,High,,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,11/Sep/25 1:53 PM,11/Sep/25 6:46 PM,11/Sep/25 4:11 PM,,,Version 1,,0,admin,"Acceptance criteria:

* Admin can access the login page.
* Valid credentials allow successful login; invalid credentials display an error.
* Admin session is maintained securely and expires after inactivity.",,Biroja karki,712020:344cb687-b1cc-4c38-8f89-3f8bf949d3e8,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3c586e9,,,,,,,,,,,,,,,,0|i000h4:,,,VEN Sprint 1,,,,,,,,,,,,10105,VEN-6,Admin & Dashboard,In Progress,11/Sep/25 6:36 PM
